Timestamp,CO2 (ppm),PM2.5 (ppm),PM10 (ppm),TVOC (ppb),NO2 (ppm)
2025-09-28 11:23:00,793.0,7.5,18.7,78.4,0.028
2025-09-28 11:23:05,797.5,8.4,11.9,85.1,0.020
2025-09-28 11:23:10,811.8,6.5,17.3,120.9,0.018
2025-09-28 11:23:15,785.8,5.9,13.4,122.9,0.013
2025-09-28 11:23:20,807.2,10.4,14.4,114.8,0.012
2025-09-28 11:23:25,788.2,6.6,17.9,113.4,0.017
2025-09-28 11:23:30,814.9,8.0,18.2,124.7,0.020
2025-09-28 11:23:35,807.3,7.4,18.1,127.7,0.013
2025-09-28 11:23:40,814.4,10.1,17.9,105.5,0.027
2025-09-28 11:23:45,788.7,9.9,14.2,119.8,0.013
2025-09-28 11:23:50,808.0,7.0,11.4,110.1,0.014
2025-09-28 11:23:55,810.6,9.3,11.9,108.2,0.016
2025-09-28 11:24:00,797.6,6.1,12.5,125.0,0.020
2025-09-28 11:24:05,797.5,5.9,14.8,76.1,0.024
2025-09-28 11:24:10,807.9,7.8,12.0,82.9,0.016
2025-09-28 11:24:15,805.5,7.0,11.4,126.5,0.024
2025-09-28 11:24:20,806.1,8.4,13.9,122.0,0.018
2025-09-28 11:24:25,803.3,7.5,13.6,108.0,0.014
2025-09-28 11:24:30,809.3,6.5,16.4,88.3,0.024
2025-09-28 11:24:35,797.8,7.9,18.8,78.4,0.013
2025-09-28 11:24:40,799.6,7.2,13.3,86.8,0.017
2025-09-28 11:24:45,796.6,6.4,15.9,109.5,0.024
2025-09-28 11:24:50,812.2,10.4,12.4,119.5,0.015
2025-09-28 11:24:55,807.1,7.1,13.8,82.7,0.026
2025-09-28 11:25:00,818.7,6.8,17.1,104.5,0.026
2025-09-28 11:25:05,797.2,6.3,16.7,125.9,0.022
2025-09-28 11:25:10,813.3,5.8,14.5,82.7,0.017
2025-09-28 11:25:15,804.1,8.8,18.7,87.0,0.014
2025-09-28 11:25:20,806.3,7.7,15.7,93.6,0.018
2025-09-28 11:25:25,804.4,6.2,18.1,99.2,0.027
2025-09-28 11:25:30,813.4,6.2,18.8,108.5,0.027
2025-09-28 11:25:35,791.4,10.4,16.7,76.1,0.025
2025-09-28 11:25:40,807.2,5.9,18.2,103.1,0.027
2025-09-28 11:25:45,808.7,10.0,12.0,111.6,0.021
2025-09-28 11:25:50,811.0,5.6,18.3,78.9,0.025
2025-09-28 11:25:55,804.5,6.0,16.7,107.3,0.014
2025-09-28 11:26:00,802.9,5.9,14.7,81.2,0.018
2025-09-28 11:26:05,815.9,7.1,16.7,113.2,0.025
2025-09-28 11:26:10,821.0,6.6,15.8,76.8,0.024
2025-09-28 11:26:15,819.6,8.2,14.5,126.7,0.013
2025-09-28 11:26:20,805.0,9.2,18.8,91.4,0.020
2025-09-28 11:26:25,810.9,8.7,17.0,93.8,0.015
2025-09-28 11:26:30,807.3,7.6,17.5,110.5,0.019
2025-09-28 11:26:35,807.9,8.2,17.6,129.7,0.021
2025-09-28 11:26:40,812.1,8.6,18.1,128.2,0.023
2025-09-28 11:26:45,812.6,5.8,11.3,78.3,0.024
2025-09-28 11:26:50,801.2,6.4,12.1,83.6,0.024
2025-09-28 11:26:55,794.0,6.6,15.0,93.4,0.024
2025-09-28 11:27:00,821.0,8.3,17.1,86.9,0.022
2025-09-28 11:27:05,804.4,9.5,14.3,127.3,0.013
2025-09-28 11:27:10,809.4,8.1,16.6,124.3,0.017
2025-09-28 11:27:15,801.9,9.4,15.1,79.0,0.013
2025-09-28 11:27:20,808.9,8.7,13.8,81.5,0.016
2025-09-28 11:27:25,810.5,9.0,18.7,72.5,0.013
2025-09-28 11:27:30,804.8,8.0,17.2,102.5,0.023
2025-09-28 11:27:35,802.8,6.2,12.3,85.2,0.027
2025-09-28 11:27:40,824.1,10.5,15.6,75.6,0.023
2025-09-28 11:27:45,805.4,9.1,13.7,122.9,0.025
2025-09-28 11:27:50,799.0,7.2,17.6,105.7,0.025
