Timestamp,Temp (°C),Humidity (%),CO2 (ppm),NOx (ppm),PM2.5 (µg/m³),PM10 (µg/m³)
1760347800000,28.59,48.3,635.5,0.0677,73.8,112.6
1760347810000,28.61,47.6,648.7,0.0661,71.8,116.3
1760347820000,28.45,47.7,651.9,0.0707,73.1,115.8
1760347830000,28.61,47.7,647.8,0.0656,72.3,116.1
1760347840000,28.46,47.8,644.5,0.0691,71.3,114.2
1760347850000,28.50,48.1,629.3,0.0700,73.1,117.6
1760347860000,28.52,48.3,641.3,0.0690,71.6,116.8
1760347870000,28.36,48.1,626.9,0.0665,72.8,113.1
1760347880000,28.41,47.7,628.8,0.0652,71.2,113.9
1760347890000,28.40,48.4,630.5,0.0653,70.2,113.6
1760347900000,28.41,47.5,644.3,0.0699,73.7,114.2
1760347910000,28.53,48.0,650.5,0.0666,71.6,114.9
1760347920000,28.46,48.1,647.1,0.0679,72.7,117.2
1760347930000,28.45,47.7,628.9,0.0661,72.3,112.2
1760347940000,28.50,48.2,647.7,0.0667,70.6,115.7
1760347950000,28.53,48.1,628.0,0.0647,71.3,116.0
1760347960000,28.52,47.8,640.9,0.0654,73.3,116.3
1760347970000,28.50,47.6,636.7,0.0680,73.1,114.8
1760347980000,28.62,47.8,637.7,0.0669,73.1,117.4
1760347990000,28.56,47.7,629.9,0.0685,70.6,115.5
1760348000000,28.43,48.0,641.5,0.0668,72.2,114.6
1760348010000,28.45,48.1,640.8,0.0682,71.9,116.2
1760348020000,28.56,47.8,651.5,0.0687,71.2,117.5
1760348030000,28.42,47.9,643.1,0.0707,72.3,116.1
1760348040000,28.36,47.9,637.9,0.0661,72.3,117.4
1760348050000,28.36,48.0,634.2,0.0694,71.2,115.8
1760348060000,28.44,47.6,639.7,0.0715,72.7,112.5
1760348070000,28.50,48.2,633.0,0.0687,72.7,117.0
1760348080000,28.59,48.1,645.0,0.0690,70.5,116.1
1760348090000,28.37,47.5,635.3,0.0682,73.6,112.7
1760348100000,28.62,48.2,648.0,0.0696,70.6,114.1
1760348110000,28.45,47.9,644.8,0.0670,71.6,116.4
1760348120000,28.46,47.6,631.4,0.0689,73.2,113.6
1760348130000,28.53,47.7,647.2,0.0664,71.8,117.8
1760348140000,28.51,48.4,637.6,0.0673,72.4,114.3
1760348150000,28.47,47.9,636.4,0.0662,73.0,117.2
1760348160000,28.43,47.7,632.1,0.0678,71.2,113.2
1760348170000,28.40,48.2,635.3,0.0667,73.5,117.3
1760348180000,28.50,48.3,630.8,0.0685,70.4,117.7
1760348190000,28.51,48.2,649.7,0.0707,72.7,117.2
1760348200000,28.43,48.0,650.0,0.0654,71.7,113.0
1760348210000,28.45,48.3,647.7,0.0713,71.1,115.4
1760348220000,28.40,48.4,650.6,0.0687,72.9,116.6
1760348230000,28.63,48.0,629.4,0.0686,72.0,116.6
1760348240000,28.40,48.0,636.4,0.0696,73.2,113.9
1760348250000,28.42,47.6,648.4,0.0678,71.3,113.0
1760348260000,28.45,48.0,647.9,0.0676,71.3,114.6
1760348270000,28.59,48.3,628.8,0.0673,72.5,115.1
1760348280000,28.51,48.5,650.6,0.0688,71.7,116.1
1760348290000,28.50,47.8,642.7,0.0652,72.2,116.4
1760348300000,28.49,48.2,637.5,0.0703,71.8,114.6
1760348310000,28.42,48.3,630.1,0.0650,72.8,117.6
1760348320000,28.61,47.6,638.8,0.0648,70.9,114.8
1760348330000,28.33,48.1,636.5,0.0651,72.1,114.7
1760348340000,28.55,48.5,624.6,0.0690,73.0,116.0
1760348350000,28.42,48.1,652.2,0.0654,72.9,117.5
1760348360000,28.36,48.4,628.6,0.0661,72.0,117.4
1760348370000,28.61,47.7,633.8,0.0707,72.9,114.8
1760348380000,28.38,47.7,645.6,0.0650,72.2,114.9
1760348390000,28.64,48.1,646.5,0.0684,72.0,115.3
1760348400000,28.52,48.2,635.1,0.0688,71.0,117.6
1760348410000,28.43,48.2,638.9,0.0660,70.3,115.0
1760348420000,28.41,48.0,643.2,0.0650,71.2,116.5
1760348430000,28.37,48.3,632.1,0.0668,74.1,116.2
1760348440000,28.50,48.5,634.5,0.0709,73.5,117.2
1760348450000,28.58,48.3,637.8,0.0672,72.2,115.4
1760348460000,28.61,47.6,631.8,0.0675,73.2,113.1
1760348470000,28.52,47.7,632.0,0.0695,72.7,112.0
1760348480000,28.57,48.4,639.8,0.0701,73.9,116.0
1760348490000,28.41,48.0,638.4,0.0668,72.1,115.8
1760348500000,28.53,48.0,652.4,0.0678,72.3,112.0
1760348510000,28.63,47.7,654.3,0.0664,71.5,116.1
1760348520000,28.61,48.1,648.2,0.0702,73.2,117.3
1760348530000,28.47,47.9,630.0,0.0666,74.1,117.0
1760348540000,28.58,47.8,650.3,0.0709,71.0,115.7
1760348550000,28.51,47.8,633.3,0.0678,71.9,114.8
1760348560000,28.50,47.9,636.7,0.0699,71.9,111.6
1760348570000,28.48,48.4,641.8,0.0701,71.7,116.6
1760348580000,28.58,48.3,647.5,0.0651,70.3,117.0
1760348590000,28.55,48.0,633.4,0.0676,71.7,115.3
1760348600000,28.34,48.2,627.3,0.0656,70.2,115.8
1760348610000,28.57,48.2,653.1,0.0651,72.0,116.0
1760348620000,28.41,47.5,634.0,0.0686,70.8,117.3
1760348630000,28.53,47.5,636.4,0.0709,70.5,114.5
1760348640000,28.60,48.0,652.7,0.0652,71.1,112.9
1760348650000,28.46,48.1,635.0,0.0701,72.2,117.5
1760348660000,28.49,48.0,643.6,0.0648,71.7,114.0
1760348670000,28.61,48.2,651.6,0.0685,72.2,114.1
1760348680000,28.55,47.8,633.2,0.0700,71.5,115.3
1760348690000,28.40,47.8,638.2,0.0643,72.9,115.2
1760348700000,28.41,48.1,636.4,0.0658,72.6,113.9
1760348710000,28.38,47.5,641.0,0.0708,70.0,115.3
1760348720000,28.46,47.7,641.4,0.0684,71.8,112.9
1760348730000,28.40,47.6,646.3,0.0699,72.5,115.7
1760348740000,28.56,48.3,632.5,0.0672,70.1,112.7
1760348750000,28.35,48.1,648.0,0.0678,70.6,113.0
1760348760000,28.54,48.1,630.9,0.0714,72.2,116.1
1760348770000,28.47,47.9,635.0,0.0701,70.6,114.4
1760348780000,28.55,47.8,653.1,0.0681,72.9,114.2
1760348790000,28.67,48.1,640.1,0.0683,71.7,113.7
1760348800000,28.32,47.8,628.0,0.0659,72.9,113.9
1760348810000,28.50,48.0,655.0,0.0687,72.0,114.8
1760348820000,28.43,48.1,630.2,0.0649,71.2,115.3
1760348830000,28.41,47.8,651.1,0.0648,70.9,117.5
1760348840000,28.31,48.3,630.9,0.0671,70.1,117.0
1760348850000,28.31,47.6,642.3,0.0700,73.5,115.4
1760348860000,28.61,47.3,643.0,0.0682,72.0,115.2
1760348870000,28.60,47.7,629.3,0.0667,71.9,113.4
1760348880000,28.63,47.7,633.0,0.0702,70.4,115.1
1760348890000,28.64,47.9,651.1,0.0668,72.6,117.1
1760348900000,28.63,48.2,636.6,0.0658,71.6,114.5
1760348910000,28.55,48.4,626.4,0.0666,72.5,112.8
1760348920000,28.31,47.8,640.4,0.0696,72.6,118.3
1760348930000,28.63,47.9,633.5,0.0684,70.9,114.3
1760348940000,28.65,47.9,651.5,0.0682,72.0,117.1
1760348950000,28.59,48.4,652.2,0.0670,72.9,114.0
1760348960000,28.45,47.6,628.2,0.0684,73.0,116.1
1760348970000,28.62,48.0,646.7,0.0688,70.9,112.4
1760348980000,28.55,47.2,644.3,0.0655,70.8,115.1
1760348990000,28.66,48.1,632.1,0.0660,70.5,113.8
1760349000000,28.57,48.3,628.7,0.0687,70.9,111.7
1760349010000,28.69,47.6,640.2,0.0676,74.0,117.1
1760349020000,28.49,48.3,631.8,0.0715,72.5,116.9
1760349030000,28.49,47.8,647.6,0.0681,71.5,114.5
1760349040000,28.30,47.8,630.5,0.0674,74.1,114.8
1760349050000,28.47,48.2,636.6,0.0712,73.1,114.2
1760349060000,28.44,47.8,637.3,0.0708,72.6,116.6
1760349070000,28.54,48.1,624.9,0.0673,71.0,114.8
1760349080000,28.44,47.9,654.7,0.0669,73.7,112.8
1760349090000,28.61,47.5,628.2,0.0672,71.0,112.2
1760349100000,28.44,47.5,651.4,0.0684,73.0,114.8
1760349110000,28.52,47.7,629.6,0.0672,72.5,111.6
1760349120000,28.35,48.0,640.0,0.0708,73.3,116.6
1760349130000,28.52,48.6,638.3,0.0668,72.6,113.2
1760349140000,28.40,48.1,628.7,0.0651,72.3,113.3
1760349150000,28.47,48.0,645.8,0.0704,71.3,115.2
1760349160000,28.38,48.7,648.8,0.0709,69.9,115.2
1760349170000,28.38,48.3,635.9,0.0664,70.7,115.2
1760349180000,28.49,48.3,645.8,0.0695,72.9,117.3
1760349190000,28.53,48.0,641.7,0.0667,73.1,117.2
1760349200000,28.52,48.5,643.7,0.0655,73.9,115.4
1760349210000,28.55,47.8,638.7,0.0655,70.6,118.3
1760349220000,28.53,48.3,651.7,0.0687,71.8,114.8
1760349230000,28.52,47.2,648.8,0.0681,71.0,114.9
1760349240000,28.48,47.6,632.0,0.0712,72.5,115.8
1760349250000,28.41,48.0,640.1,0.0695,70.2,114.8
1760349260000,28.55,48.2,645.0,0.0700,72.6,118.0
1760349270000,28.40,47.9,655.8,0.0684,72.7,114.2
1760349280000,28.57,47.9,647.2,0.0687,70.5,112.7
1760349290000,28.56,47.8,646.3,0.0655,70.8,118.3
