Timestamp,Temp (°C),Humidity (%),CO2 (ppm),NOx (ppm),PM2.5 (µg/m³),PM10 (µg/m³)
1760315400000,23.45,71.6,549.2,0.0459,42.0,72.7
1760315410000,23.55,71.5,555.7,0.0457,41.3,72.5
1760315420000,23.47,72.1,554.7,0.0456,42.7,73.0
1760315430000,23.52,72.3,559.4,0.0444,41.1,73.1
1760315440000,23.46,71.3,551.4,0.0463,41.5,72.7
1760315450000,23.45,72.2,565.9,0.0466,43.0,71.5
1760315460000,23.40,72.0,553.0,0.0462,41.0,71.7
1760315470000,23.49,72.1,556.9,0.0450,41.7,72.0
1760315480000,23.51,71.7,560.7,0.0466,42.9,73.4
1760315490000,23.50,71.5,544.4,0.0445,41.9,71.2
1760315500000,23.62,71.9,563.3,0.0444,42.1,72.4
1760315510000,23.58,72.3,551.0,0.0438,41.1,71.2
1760315520000,23.56,72.6,551.3,0.0467,41.2,70.8
1760315530000,23.46,72.2,564.5,0.0441,41.1,72.4
1760315540000,23.45,71.9,551.6,0.0449,41.9,72.2
1760315550000,23.61,72.1,566.0,0.0436,41.2,72.2
1760315560000,23.55,71.8,554.8,0.0433,41.2,72.6
1760315570000,23.40,72.1,560.4,0.0464,43.1,70.8
1760315580000,23.58,71.9,562.2,0.0461,41.5,72.5
1760315590000,23.46,71.8,548.4,0.0442,42.5,72.7
1760315600000,23.60,72.3,549.9,0.0448,41.7,70.3
1760315610000,23.53,71.6,545.8,0.0465,41.6,73.5
1760315620000,23.61,72.5,549.5,0.0460,42.8,72.3
1760315630000,23.57,72.1,561.1,0.0459,42.7,70.2
1760315640000,23.46,72.1,561.9,0.0440,41.2,72.8
1760315650000,23.41,71.4,555.0,0.0455,41.9,72.6
1760315660000,23.59,72.5,547.7,0.0431,43.0,72.1
1760315670000,23.47,71.3,562.5,0.0448,42.8,73.7
1760315680000,23.63,71.9,560.1,0.0462,42.5,72.7
1760315690000,23.56,71.6,552.8,0.0459,42.9,71.0
1760315700000,23.42,71.5,543.4,0.0431,42.3,73.5
1760315710000,23.59,72.0,543.6,0.0471,41.3,70.9
1760315720000,23.44,72.8,564.3,0.0434,40.9,73.1
1760315730000,23.44,71.7,552.0,0.0453,42.2,71.0
1760315740000,23.57,72.7,549.4,0.0435,41.3,70.7
1760315750000,23.40,71.5,556.3,0.0460,41.9,72.4
1760315760000,23.38,71.4,554.9,0.0451,42.0,70.9
1760315770000,23.48,72.1,550.8,0.0452,41.7,72.7
1760315780000,23.51,72.0,548.7,0.0467,42.7,71.9
1760315790000,23.39,71.8,565.7,0.0438,42.2,70.7
1760315800000,23.50,71.7,562.4,0.0460,41.2,72.4
1760315810000,23.54,72.0,556.1,0.0452,43.0,73.2
1760315820000,23.57,72.3,544.4,0.0464,41.3,70.4
1760315830000,23.39,72.1,547.4,0.0463,41.5,72.0
1760315840000,23.64,71.8,556.2,0.0442,42.3,71.4
1760315850000,23.47,71.9,561.3,0.0466,42.5,72.9
1760315860000,23.54,71.7,552.7,0.0439,41.5,73.6
1760315870000,23.56,72.5,552.6,0.0470,40.9,71.8
1760315880000,23.46,72.0,567.2,0.0464,42.1,74.1
1760315890000,23.54,71.8,550.6,0.0469,41.1,73.3
1760315900000,23.59,71.9,552.9,0.0447,41.4,71.2
1760315910000,23.38,71.8,544.0,0.0449,41.5,73.0
1760315920000,23.49,72.4,550.8,0.0459,42.3,74.0
1760315930000,23.40,71.6,556.9,0.0443,42.6,73.0
1760315940000,23.39,71.6,562.6,0.0448,42.3,72.8
1760315950000,23.53,71.7,559.3,0.0428,41.6,70.8
1760315960000,23.47,72.2,562.7,0.0462,42.8,73.0
1760315970000,23.60,72.4,560.8,0.0450,42.1,73.0
1760315980000,23.51,71.3,541.7,0.0458,42.9,73.2
1760315990000,23.56,72.7,547.1,0.0437,41.9,73.4
1760316000000,23.43,72.3,564.6,0.0446,42.9,71.3
1760316010000,23.44,72.1,560.6,0.0459,41.5,73.5
1760316020000,23.52,72.8,563.2,0.0471,43.1,72.2
1760316030000,23.61,72.3,558.3,0.0466,42.5,71.4
1760316040000,23.45,71.3,549.7,0.0469,41.7,74.1
1760316050000,23.52,72.5,550.4,0.0464,42.1,72.9
1760316060000,23.48,72.3,566.0,0.0432,42.7,69.9
1760316070000,23.44,71.5,545.4,0.0444,42.0,71.0
1760316080000,23.49,72.7,551.5,0.0460,41.1,73.4
1760316090000,23.38,71.5,562.1,0.0443,42.5,71.4
1760316100000,23.48,72.6,550.5,0.0445,41.9,72.9
1760316110000,23.47,71.6,560.5,0.0444,41.5,73.7
1760316120000,23.57,72.0,561.4,0.0467,41.4,70.3
1760316130000,23.58,72.9,543.8,0.0436,42.9,74.1
1760316140000,23.55,71.7,560.0,0.0465,42.2,72.2
1760316150000,23.43,71.9,544.5,0.0462,41.7,73.0
1760316160000,23.42,72.1,553.9,0.0444,42.5,72.7
1760316170000,23.62,72.0,558.9,0.0458,41.6,71.1
1760316180000,23.61,71.8,555.9,0.0428,41.1,72.3
1760316190000,23.53,72.3,552.3,0.0434,42.5,71.9
1760316200000,23.54,71.9,548.9,0.0438,42.8,74.2
1760316210000,23.57,72.7,543.4,0.0455,41.0,71.2
1760316220000,23.40,72.6,549.1,0.0449,43.1,72.0
1760316230000,23.53,72.6,555.5,0.0442,41.7,71.4
1760316240000,23.36,71.6,542.9,0.0439,41.6,73.3
1760316250000,23.43,72.2,545.7,0.0465,41.2,70.8
1760316260000,23.49,72.0,547.2,0.0460,40.8,73.1
1760316270000,23.41,72.4,561.6,0.0457,41.8,71.7
1760316280000,23.57,71.5,561.3,0.0442,41.6,73.8
1760316290000,23.52,71.3,561.1,0.0465,40.8,72.2
1760316300000,23.47,71.9,549.6,0.0451,41.1,73.7
1760316310000,23.55,71.5,556.2,0.0448,42.0,71.4
1760316320000,23.46,72.4,556.6,0.0449,42.5,71.6
1760316330000,23.61,72.1,551.9,0.0428,43.1,72.8
1760316340000,23.55,72.6,556.7,0.0450,43.4,71.0
1760316350000,23.48,72.4,562.4,0.0470,41.6,72.3
1760316360000,23.54,72.7,550.0,0.0457,41.3,73.7
1760316370000,23.46,72.6,546.0,0.0471,42.6,72.6
1760316380000,23.57,72.6,557.5,0.0472,42.5,71.3
1760316390000,23.45,71.8,558.8,0.0443,42.5,72.9
1760316400000,23.55,71.1,547.1,0.0446,41.9,70.6
1760316410000,23.51,71.9,549.2,0.0431,41.5,72.1
1760316420000,23.45,71.5,552.2,0.0449,41.8,69.9
1760316430000,23.43,72.2,556.2,0.0478,42.0,72.5
1760316440000,23.58,72.2,547.9,0.0463,42.7,70.9
1760316450000,23.54,72.1,549.3,0.0454,42.4,71.4
1760316460000,23.50,71.6,554.3,0.0442,42.2,72.8
1760316470000,23.62,71.9,545.8,0.0425,41.8,70.7
1760316480000,23.52,72.1,562.6,0.0474,43.0,71.4
1760316490000,23.68,72.2,561.2,0.0426,43.3,73.0
1760316500000,23.45,71.0,557.7,0.0474,42.7,73.3
1760316510000,23.49,72.1,554.9,0.0447,41.8,72.1
1760316520000,23.60,70.9,565.2,0.0468,41.8,73.6
1760316530000,23.51,71.6,553.6,0.0433,42.3,72.2
1760316540000,23.59,72.8,547.3,0.0470,41.8,71.8
1760316550000,23.54,71.9,552.1,0.0440,42.7,72.4
1760316560000,23.48,71.7,553.5,0.0436,42.3,69.8
1760316570000,23.57,71.9,549.0,0.0450,41.9,72.1
1760316580000,23.50,72.6,542.4,0.0451,42.3,72.0
1760316590000,23.64,71.1,557.4,0.0449,41.2,72.5
1760316600000,23.60,71.8,556.3,0.0453,41.8,71.4
1760316610000,23.49,72.8,568.0,0.0476,41.8,73.7
1760316620000,23.44,72.0,564.5,0.0446,43.4,72.4
1760316630000,23.41,70.8,555.0,0.0423,42.0,72.7
1760316640000,23.34,72.5,552.6,0.0471,41.2,73.6
1760316650000,23.62,72.5,566.2,0.0448,41.6,72.7
1760316660000,23.45,71.1,554.5,0.0477,42.6,71.1
1760316670000,23.62,72.3,563.9,0.0440,42.5,71.8
1760316680000,23.43,72.6,557.0,0.0473,41.6,72.2
1760316690000,23.44,73.0,551.1,0.0455,42.6,71.8
1760316700000,23.39,71.4,561.5,0.0435,42.2,72.4
1760316710000,23.42,71.4,550.5,0.0456,42.5,73.9
1760316720000,23.35,72.6,558.4,0.0466,41.0,71.4
1760316730000,23.48,71.9,553.9,0.0464,41.5,72.7
1760316740000,23.61,72.6,552.5,0.0462,41.2,70.9
1760316750000,23.53,72.1,549.9,0.0466,42.9,69.8
1760316760000,23.49,72.3,560.7,0.0456,41.4,70.9
1760316770000,23.40,72.2,558.8,0.0439,43.1,73.1
1760316780000,23.52,72.2,556.4,0.0460,41.9,72.4
