Timestamp,Temp (°C),Humidity (%),CO2 (ppm),NOx (ppm),PM2.5 (µg/m³),PM10 (µg/m³)
1760365800000,26.01,63.4,657.7,0.0577,49.3,81.3
1760365810000,26.02,63.5,654.0,0.0544,49.4,82.1
1760365820000,25.98,63.0,638.7,0.0565,48.3,78.9
1760365830000,26.09,63.9,659.0,0.0528,49.5,82.0
1760365840000,25.90,63.7,657.3,0.0549,48.7,79.1
1760365850000,26.06,63.5,642.5,0.0546,48.6,81.6
1760365860000,25.92,63.5,662.6,0.0532,48.8,82.2
1760365870000,25.94,63.1,647.6,0.0571,49.6,79.9
1760365880000,26.00,63.7,652.8,0.0555,49.1,82.3
1760365890000,26.03,63.5,638.1,0.0560,47.9,81.2
1760365900000,26.04,63.1,659.3,0.0543,49.4,79.3
1760365910000,25.90,63.7,657.3,0.0543,47.3,81.1
1760365920000,25.99,63.2,644.9,0.0526,48.2,79.8
1760365930000,26.06,63.2,643.0,0.0570,49.4,79.0
1760365940000,26.00,63.4,638.1,0.0575,49.2,80.9
1760365950000,26.12,63.1,648.9,0.0554,47.8,81.7
1760365960000,25.95,63.0,641.0,0.0527,49.5,79.3
1760365970000,26.12,64.0,642.3,0.0569,47.6,79.1
1760365980000,25.90,63.8,645.6,0.0573,49.6,79.1
1760365990000,26.09,63.5,640.6,0.0529,48.0,79.8
1760366000000,25.94,63.8,655.3,0.0531,47.8,79.9
1760366010000,26.07,63.5,658.6,0.0560,48.0,79.8
1760366020000,26.10,63.1,650.6,0.0556,48.6,79.6
1760366030000,26.10,63.8,639.1,0.0542,49.2,80.0
1760366040000,25.93,63.3,654.9,0.0576,49.5,79.1
1760366050000,26.11,63.2,653.9,0.0549,48.2,79.3
1760366060000,26.03,63.8,659.6,0.0574,47.4,82.0
1760366070000,25.92,63.8,647.9,0.0547,49.7,81.6
1760366080000,25.93,64.1,652.0,0.0574,47.4,82.0
1760366090000,26.06,63.6,654.5,0.0548,47.2,82.0
1760366100000,25.89,62.9,645.2,0.0553,47.8,79.0
1760366110000,26.00,63.1,654.9,0.0548,47.4,82.2
1760366120000,26.03,63.9,653.4,0.0571,49.3,79.1
1760366130000,25.94,63.9,649.8,0.0523,49.5,80.2
1760366140000,26.06,63.9,663.7,0.0562,49.2,82.1
1760366150000,26.00,64.0,643.6,0.0534,49.3,79.6
1760366160000,26.09,63.0,654.7,0.0563,47.7,80.7
1760366170000,25.95,63.5,657.3,0.0524,49.1,79.8
1760366180000,26.00,63.4,641.2,0.0523,48.7,80.2
1760366190000,26.06,64.0,643.2,0.0547,49.2,81.4
1760366200000,26.04,63.5,659.0,0.0527,47.4,78.8
1760366210000,26.10,63.2,662.7,0.0574,48.2,78.5
1760366220000,26.07,63.3,645.6,0.0535,47.6,78.8
1760366230000,26.06,63.5,655.1,0.0526,49.7,81.5
1760366240000,26.06,63.6,639.2,0.0566,47.6,81.2
1760366250000,25.93,63.2,663.3,0.0556,47.8,79.0
1760366260000,26.05,63.6,648.4,0.0541,48.0,81.4
1760366270000,25.87,64.0,647.0,0.0537,48.2,78.8
1760366280000,26.06,63.6,657.8,0.0573,49.1,82.4
1760366290000,26.04,63.9,643.9,0.0554,47.9,81.3
1760366300000,25.95,63.8,641.9,0.0551,49.5,82.6
1760366310000,25.90,63.0,643.5,0.0554,48.1,79.3
1760366320000,25.90,63.1,656.3,0.0525,49.2,81.7
1760366330000,25.93,62.7,634.9,0.0530,47.5,78.9
1760366340000,25.94,64.1,660.5,0.0555,48.8,82.7
1760366350000,26.00,64.1,661.4,0.0526,48.6,81.2
1760366360000,25.96,63.6,644.2,0.0539,49.7,81.1
1760366370000,25.99,63.8,661.6,0.0529,47.1,79.2
1760366380000,25.97,63.3,660.8,0.0558,48.5,81.4
1760366390000,25.91,63.5,648.4,0.0544,49.4,79.5
1760366400000,25.88,62.9,662.8,0.0544,48.4,82.3
1760366410000,25.95,63.4,644.5,0.0577,49.0,82.5
1760366420000,25.98,63.2,642.8,0.0573,50.0,80.3
1760366430000,25.96,63.3,643.8,0.0528,48.3,80.3
1760366440000,25.98,63.6,658.8,0.0576,47.4,80.9
1760366450000,25.93,63.1,649.1,0.0539,48.2,78.5
1760366460000,26.16,63.1,642.1,0.0547,48.3,82.4
1760366470000,26.14,63.9,647.1,0.0531,49.2,79.8
1760366480000,26.09,63.4,652.4,0.0529,47.9,82.8
1760366490000,25.93,63.7,658.1,0.0540,47.5,79.0
1760366500000,25.92,63.3,640.1,0.0522,47.2,80.1
1760366510000,26.03,63.8,649.4,0.0532,48.7,78.5
1760366520000,25.96,62.7,657.6,0.0562,49.0,81.9
1760366530000,26.12,64.0,658.1,0.0538,47.3,79.4
1760366540000,25.90,63.4,661.1,0.0574,48.7,80.1
1760366550000,25.93,63.3,650.0,0.0570,47.5,78.7
1760366560000,26.10,64.0,654.3,0.0538,48.0,82.0
1760366570000,26.02,63.2,655.5,0.0555,49.2,81.6
1760366580000,26.04,63.9,660.6,0.0566,47.9,81.7
1760366590000,26.02,63.1,642.7,0.0533,48.2,80.4
1760366600000,25.93,64.0,638.1,0.0568,48.2,78.0
1760366610000,25.96,63.4,640.8,0.0549,49.6,82.3
1760366620000,25.87,64.3,647.6,0.0550,49.2,81.6
1760366630000,25.97,64.3,650.4,0.0550,49.4,79.6
1760366640000,25.94,63.6,653.9,0.0576,49.3,79.6
1760366650000,25.84,63.4,662.0,0.0544,49.1,81.8
1760366660000,25.96,64.1,642.1,0.0519,49.4,80.1
1760366670000,25.85,63.2,640.1,0.0539,48.4,81.2
1760366680000,26.11,63.7,652.6,0.0540,48.2,81.8
