Timestamp,Temp (°C),Humidity (%),CO2 (ppm),NOx (ppm),PM2.5 (µg/m³),PM10 (µg/m³)
1760344200000,23.43,82.3,588.2,0.0402,28.1,52.9
1760344210000,23.60,81.4,568.6,0.0409,29.0,53.2
1760344220000,23.59,82.6,569.9,0.0417,27.9,52.9
1760344230000,23.48,82.4,579.3,0.0400,28.4,51.4
1760344240000,23.53,82.0,589.8,0.0422,29.0,52.2
1760344250000,23.43,81.7,571.2,0.0408,28.3,52.8
1760344260000,23.43,82.4,591.0,0.0436,28.8,53.3
1760344270000,23.52,82.2,573.8,0.0411,27.8,51.6
1760344280000,23.51,82.2,579.0,0.0410,29.2,52.6
1760344290000,23.58,82.3,587.1,0.0438,28.0,51.2
1760344300000,23.53,81.3,588.6,0.0416,28.3,51.3
1760344310000,23.45,82.1,571.3,0.0407,29.1,51.3
1760344320000,23.58,82.2,590.9,0.0412,29.2,50.8
1760344330000,23.56,82.8,571.6,0.0408,29.1,51.2
1760344340000,23.57,82.6,570.4,0.0425,27.8,51.1
1760344350000,23.61,82.4,569.1,0.0441,28.0,51.9
1760344360000,23.54,82.1,582.8,0.0401,28.2,52.7
1760344370000,23.59,82.5,572.3,0.0407,28.7,51.6
1760344380000,23.54,82.1,569.1,0.0438,28.6,52.8
1760344390000,23.59,82.7,578.4,0.0420,27.8,51.0
1760344400000,23.45,81.2,577.2,0.0419,27.8,53.0
1760344410000,23.41,82.5,567.8,0.0403,28.1,52.6
1760344420000,23.57,81.3,581.7,0.0436,27.9,53.3
1760344430000,23.52,81.6,575.9,0.0402,28.0,51.9
1760344440000,23.55,82.6,590.7,0.0418,27.9,51.6
1760344450000,23.50,82.4,577.8,0.0403,28.3,52.3
1760344460000,23.62,82.5,576.1,0.0439,28.9,51.4
1760344470000,23.60,81.2,580.8,0.0439,28.0,51.2
1760344480000,23.50,81.6,568.7,0.0408,29.2,51.2
1760344490000,23.59,81.2,576.9,0.0417,28.5,52.2
1760344500000,23.41,82.7,571.5,0.0440,28.3,50.9
1760344510000,23.43,82.5,582.9,0.0402,27.8,52.4
1760344520000,23.62,82.6,585.6,0.0421,28.5,53.2
1760344530000,23.50,82.2,576.5,0.0416,28.1,50.9
1760344540000,23.45,81.8,580.9,0.0433,28.5,53.1
1760344550000,23.38,81.4,588.5,0.0414,28.5,52.8
1760344560000,23.55,81.8,588.6,0.0423,28.3,52.7
1760344570000,23.62,81.4,591.3,0.0415,27.8,51.2
1760344580000,23.45,82.7,575.2,0.0415,28.3,51.4
1760344590000,23.44,82.4,586.5,0.0409,28.5,50.7
1760344600000,23.56,82.5,591.2,0.0414,28.0,51.3
1760344610000,23.56,81.7,574.2,0.0421,28.6,51.0
1760344620000,23.56,82.7,569.4,0.0418,27.9,51.0
1760344630000,23.54,81.9,584.2,0.0408,29.0,52.3
1760344640000,23.43,81.8,579.0,0.0422,28.2,51.2
1760344650000,23.56,81.7,589.1,0.0439,29.0,52.4
1760344660000,23.59,81.6,588.5,0.0431,28.0,51.5
1760344670000,23.45,82.4,588.0,0.0428,29.1,53.4
1760344680000,23.37,82.4,588.0,0.0403,27.9,52.1
1760344690000,23.61,82.3,581.3,0.0415,29.3,51.6
1760344700000,23.37,81.7,579.5,0.0426,28.1,51.0
1760344710000,23.44,81.9,575.5,0.0425,28.8,52.5
1760344720000,23.48,82.7,576.8,0.0414,28.9,51.4
1760344730000,23.44,82.0,589.8,0.0406,29.2,51.6
1760344740000,23.61,81.1,585.8,0.0427,27.8,52.0
1760344750000,23.47,82.8,585.8,0.0424,28.1,52.1
1760344760000,23.64,82.8,573.8,0.0407,28.1,52.8
1760344770000,23.47,82.8,573.8,0.0409,28.5,52.8
1760344780000,23.42,82.5,579.4,0.0398,27.8,52.0
1760344790000,23.41,82.6,567.1,0.0409,29.2,52.2
1760344800000,23.58,81.3,593.7,0.0430,28.6,53.6
1760344810000,23.60,82.7,590.5,0.0429,28.7,52.4
1760344820000,23.47,82.6,578.1,0.0414,28.7,50.9
1760344830000,23.40,81.6,584.0,0.0434,28.0,52.9
1760344840000,23.57,81.3,588.5,0.0405,28.9,53.1
1760344850000,23.38,82.7,569.6,0.0421,28.7,51.0
1760344860000,23.47,81.3,575.6,0.0428,28.1,53.4
1760344870000,23.51,82.6,584.6,0.0413,28.7,51.1
1760344880000,23.57,81.1,567.6,0.0405,28.8,52.8
1760344890000,23.52,81.5,580.2,0.0408,28.3,52.5
1760344900000,23.64,81.4,567.0,0.0435,28.7,53.0
1760344910000,23.42,81.9,569.7,0.0411,27.7,52.2
1760344920000,23.63,81.9,576.6,0.0422,28.6,52.3
1760344930000,23.36,82.9,590.5,0.0411,28.9,52.9
1760344940000,23.46,81.2,585.8,0.0403,28.1,52.3
1760344950000,23.53,82.3,574.7,0.0422,29.2,51.7
1760344960000,23.59,82.0,586.7,0.0422,29.3,52.7
1760344970000,23.56,81.4,572.8,0.0433,29.1,50.9
1760344980000,23.38,82.2,581.1,0.0422,28.7,53.2
1760344990000,23.54,81.1,575.0,0.0430,28.5,53.4
1760345000000,23.65,82.9,577.6,0.0413,28.8,51.0
1760345010000,23.51,82.3,592.5,0.0412,28.7,51.9
1760345020000,23.46,82.7,572.2,0.0414,27.9,53.6
1760345030000,23.54,81.7,584.0,0.0409,29.1,53.3
1760345040000,23.60,81.3,571.7,0.0426,28.3,52.8
1760345050000,23.53,83.0,580.5,0.0427,28.5,50.9
1760345060000,23.58,81.6,581.8,0.0422,29.0,52.8
1760345070000,23.62,82.3,585.9,0.0433,27.8,50.6
1760345080000,23.44,81.9,576.8,0.0417,28.7,53.6
1760345090000,23.61,82.3,578.0,0.0434,28.7,52.8
1760345100000,23.47,81.5,586.8,0.0424,29.3,52.4
1760345110000,23.44,81.9,578.6,0.0422,29.4,51.0
1760345120000,23.51,81.9,581.2,0.0439,27.9,53.0
1760345130000,23.58,81.9,585.8,0.0420,28.5,52.6
1760345140000,23.62,82.1,572.3,0.0427,28.9,52.4
1760345150000,23.62,82.4,575.0,0.0425,28.1,52.4
1760345160000,23.57,82.0,576.6,0.0402,27.9,52.0
1760345170000,23.49,82.9,581.4,0.0419,28.3,52.2
1760345180000,23.57,81.4,584.2,0.0428,28.6,53.0
1760345190000,23.52,82.0,585.8,0.0398,28.6,50.4
1760345200000,23.50,82.4,571.6,0.0407,29.4,51.2
1760345210000,23.36,81.4,583.5,0.0435,28.6,51.0
1760345220000,23.42,81.3,589.9,0.0413,27.6,51.3
1760345230000,23.60,82.5,588.8,0.0433,28.6,52.8
1760345240000,23.52,82.9,572.4,0.0430,28.3,52.5
1760345250000,23.42,81.9,580.8,0.0433,28.1,52.8
1760345260000,23.50,83.1,580.7,0.0433,29.4,51.7
1760345270000,23.50,81.6,578.6,0.0418,28.6,51.9
1760345280000,23.50,81.7,570.2,0.0417,28.4,52.2
1760345290000,23.46,82.1,576.6,0.0412,29.3,52.5
1760345300000,23.50,81.8,578.1,0.0415,28.6,52.3
1760345310000,23.65,81.0,586.6,0.0410,28.4,53.7
1760345320000,23.43,82.1,584.3,0.0426,28.8,53.0
1760345330000,23.60,82.6,573.9,0.0403,29.3,51.6
1760345340000,23.55,82.3,577.8,0.0421,29.4,51.1
1760345350000,23.58,82.4,572.2,0.0425,28.6,51.4
1760345360000,23.60,81.6,586.7,0.0433,28.4,51.0
1760345370000,23.55,82.3,573.6,0.0418,28.9,51.3
1760345380000,23.52,82.3,575.3,0.0408,28.7,53.8
1760345390000,23.35,81.2,576.8,0.0409,28.6,52.8
1760345400000,23.51,81.4,571.9,0.0441,28.4,51.3
1760345410000,23.36,81.9,586.8,0.0425,29.3,52.1
1760345420000,23.40,81.9,585.6,0.0395,29.4,50.2
1760345430000,23.32,82.8,589.2,0.0434,28.8,51.5
1760345440000,23.52,81.4,571.4,0.0441,29.1,52.8
1760345450000,23.38,82.0,570.2,0.0430,29.0,53.0
1760345460000,23.50,82.4,576.9,0.0428,28.2,52.6
1760345470000,23.41,82.1,583.1,0.0413,29.2,52.6
1760345480000,23.45,81.6,585.2,0.0412,28.2,51.5
1760345490000,23.45,82.6,575.8,0.0421,28.2,53.6
1760345500000,23.52,82.5,581.1,0.0404,28.1,52.4
1760345510000,23.67,82.3,582.9,0.0393,28.2,51.6
1760345520000,23.54,80.8,577.8,0.0427,28.2,53.7
