Timestamp,Temp (°C),Humidity (%),CO2 (ppm),NOx (ppm),PM2.5 (µg/m³),PM10 (µg/m³)
1760344200000,29.42,52.5,618.1,0.0566,52.8,87.2
1760344210000,29.40,52.3,626.0,0.0560,54.2,88.0
1760344220000,29.42,51.9,628.9,0.0604,53.4,89.0
1760344230000,29.50,51.9,618.8,0.0586,53.7,87.5
1760344240000,29.61,51.7,622.0,0.0600,52.8,90.1
1760344250000,29.40,52.0,620.8,0.0578,52.7,87.3
1760344260000,29.55,51.8,612.2,0.0598,53.6,89.7
1760344270000,29.63,51.6,628.9,0.0586,53.3,87.8
1760344280000,29.38,51.9,608.1,0.0575,54.2,90.0
1760344290000,29.58,52.0,617.7,0.0573,53.7,88.0
1760344300000,29.39,51.7,608.6,0.0558,54.2,88.7
1760344310000,29.39,52.0,620.2,0.0607,55.1,87.6
1760344320000,29.36,51.6,627.9,0.0596,53.4,89.4
1760344330000,29.56,51.9,622.5,0.0604,54.6,87.5
1760344340000,29.48,52.0,622.3,0.0552,53.4,88.5
1760344350000,29.56,52.0,627.4,0.0608,54.6,88.5
1760344360000,29.51,52.0,626.7,0.0558,54.6,90.3
1760344370000,29.45,52.4,613.2,0.0578,55.0,89.0
1760344380000,29.46,52.1,625.1,0.0590,53.5,86.3
1760344390000,29.38,51.5,619.2,0.0556,54.8,89.5
1760344400000,29.56,51.9,613.1,0.0558,54.5,86.6
1760344410000,29.37,51.5,629.4,0.0583,54.4,90.1
1760344420000,29.42,52.0,626.5,0.0553,53.2,89.6
1760344430000,29.36,52.4,610.7,0.0603,54.5,88.8
1760344440000,29.48,51.7,610.6,0.0588,54.9,86.8
1760344450000,29.58,52.0,614.3,0.0590,54.7,87.5
1760344460000,29.58,51.5,608.6,0.0561,54.5,86.3
1760344470000,29.57,52.1,607.6,0.0590,55.3,90.0
1760344480000,29.36,51.7,619.5,0.0568,55.0,89.1
1760344490000,29.54,52.1,626.9,0.0551,55.2,85.9
1760344500000,29.48,52.1,627.0,0.0598,53.4,89.4
1760344510000,29.37,52.4,617.9,0.0607,55.5,87.9
1760344520000,29.63,52.0,609.6,0.0579,54.7,89.0
1760344530000,29.63,51.6,624.9,0.0567,54.7,87.4
1760344540000,29.49,52.2,629.5,0.0551,55.0,86.8
1760344550000,29.55,52.3,620.2,0.0554,54.8,86.3
1760344560000,29.47,52.3,610.3,0.0601,53.6,86.9
1760344570000,29.50,51.6,615.3,0.0555,53.2,87.3
1760344580000,29.50,52.3,623.2,0.0564,54.5,88.8
1760344590000,29.58,52.0,612.4,0.0607,54.9,88.2
1760344600000,29.54,52.3,613.5,0.0564,54.6,89.6
1760344610000,29.42,51.8,621.3,0.0589,54.4,89.1
1760344620000,29.41,52.4,616.0,0.0594,53.3,86.5
1760344630000,29.65,52.4,616.9,0.0582,54.9,88.6
1760344640000,29.44,51.5,630.6,0.0585,54.4,86.2
1760344650000,29.38,51.9,624.5,0.0579,54.5,85.8
1760344660000,29.43,52.3,630.6,0.0593,53.5,86.1
1760344670000,29.56,52.1,608.3,0.0562,53.2,86.6
1760344680000,29.59,52.2,610.5,0.0580,54.7,87.8
1760344690000,29.54,51.9,626.7,0.0551,54.0,89.0
1760344700000,29.48,52.6,608.4,0.0595,54.4,88.5
1760344710000,29.42,52.2,611.7,0.0569,55.0,87.8
1760344720000,29.66,52.5,614.7,0.0585,54.0,86.5
1760344730000,29.47,52.2,619.8,0.0605,53.2,89.0
1760344740000,29.63,51.7,615.7,0.0595,53.2,89.3
1760344750000,29.54,52.4,614.0,0.0572,54.5,88.1
1760344760000,29.44,51.8,616.9,0.0588,54.8,88.6
1760344770000,29.49,52.4,616.0,0.0573,55.2,87.0
1760344780000,29.55,52.4,629.1,0.0609,55.1,86.2
1760344790000,29.49,52.3,620.1,0.0604,53.6,89.8
1760344800000,29.39,51.9,633.1,0.0605,55.4,88.2
1760344810000,29.40,52.4,613.6,0.0592,54.0,90.0
1760344820000,29.46,51.4,616.6,0.0591,52.5,86.7
1760344830000,29.56,52.1,616.6,0.0577,53.4,88.3
1760344840000,29.58,52.2,614.8,0.0600,55.6,87.6
1760344850000,29.64,51.7,620.6,0.0574,52.8,88.5
1760344860000,29.62,52.4,631.4,0.0604,53.6,88.1
1760344870000,29.43,52.2,632.7,0.0569,53.5,89.0
1760344880000,29.64,52.7,614.6,0.0563,53.2,86.2
1760344890000,29.49,52.5,613.5,0.0563,52.5,88.7
1760344900000,29.67,51.6,629.8,0.0602,54.7,86.2
1760344910000,29.48,52.3,623.6,0.0549,53.9,90.5
1760344920000,29.46,51.6,623.4,0.0589,53.1,87.7
1760344930000,29.44,52.3,631.3,0.0573,54.8,87.4
1760344940000,29.64,52.2,613.4,0.0582,54.8,86.9
1760344950000,29.49,52.3,609.1,0.0605,54.6,87.9
1760344960000,29.51,51.7,624.4,0.0588,53.7,86.9
1760344970000,29.36,51.5,608.9,0.0593,52.8,89.0
1760344980000,29.45,51.6,618.0,0.0589,54.9,89.4
1760344990000,29.37,52.0,619.1,0.0560,53.9,87.2
